DATE RECORDED,Playlist Position,album.artists,album.name,duration_ms,id,name,popularity,uri
2021-10-25 21:31:06,47,"[{""external_urls"":{""spotify"":""https://open.spotify.com/artist/64KEffDW9EtZ1y2vBYgq8T""},""href"":""https://api.spotify.com/v1/artists/64KEffDW9EtZ1y2vBYgq8T"",""id"":""64KEffDW9EtZ1y2vBYgq8T"",""name"":""Marshmello"",""type"":""artist"",""uri"":""spotify:artist:64KEffDW9EtZ1y2vBYgq8T""},{""external_urls"":{""spotify"":""https://open.spotify.com/artist/7gOdHgIoIKoe4i9Tta6qdD""},""href"":""https://api.spotify.com/v1/artists/7gOdHgIoIKoe4i9Tta6qdD"",""id"":""7gOdHgIoIKoe4i9Tta6qdD"",""name"":""Jonas Brothers"",""type"":""artist"",""uri"":""spotify:artist:7gOdHgIoIKoe4i9Tta6qdD""}]",Leave Before You Love Me,154983,4qu63nuBpdn0qHUHuObEj1,Leave Before You Love Me (with Jonas Brothers),89,spotify:track:4qu63nuBpdn0qHUHuObEj1
2021-10-25 21:31:06,48,"[{""external_urls"":{""spotify"":""https://open.spotify.com/artist/1uNFoZAHBGtllmzznpCI3s""},""href"":""https://api.spotify.com/v1/artists/1uNFoZAHBGtllmzznpCI3s"",""id"":""1uNFoZAHBGtllmzznpCI3s"",""name"":""Justin Bieber"",""type"":""artist"",""uri"":""spotify:artist:1uNFoZAHBGtllmzznpCI3s""}]",Justice,198081,4iJyoBOLtHqaGxP12qzhQI,Peaches (feat. Daniel Caesar & Giveon),92,spotify:track:4iJyoBOLtHqaGxP12qzhQI
2021-10-25 21:31:06,49,"[{""external_urls"":{""spotify"":""https://open.spotify.com/artist/0du5cEVh5yTK9QJze8zA0C""},""href"":""https://api.spotify.com/v1/artists/0du5cEVh5yTK9QJze8zA0C"",""id"":""0du5cEVh5yTK9QJze8zA0C"",""name"":""Bruno Mars"",""type"":""artist"",""uri"":""spotify:artist:0du5cEVh5yTK9QJze8zA0C""},{""external_urls"":{""spotify"":""https://open.spotify.com/artist/3jK9MiCrA42lLAdMGUZpwa""},""href"":""https://api.spotify.com/v1/artists/3jK9MiCrA42lLAdMGUZpwa"",""id"":""3jK9MiCrA42lLAdMGUZpwa"",""name"":""Anderson .Paak"",""type"":""artist"",""uri"":""spotify:artist:3jK9MiCrA42lLAdMGUZpwa""},{""external_urls"":{""spotify"":""https://open.spotify.com/artist/6PvvGcCY2XtUcSRld1Wilr""},""href"":""https://api.spotify.com/v1/artists/6PvvGcCY2XtUcSRld1Wilr"",""id"":""6PvvGcCY2XtUcSRld1Wilr"",""name"":""Silk Sonic"",""type"":""artist"",""uri"":""spotify:artist:6PvvGcCY2XtUcSRld1Wilr""}]",Leave The Door Open,242096,7MAibcTli4IisCtbHKrGMh,Leave The Door Open,89,spotify:track:7MAibcTli4IisCtbHKrGMh
2021-10-25 21:31:06,50,"[{""external_urls"":{""spotify"":""https://open.spotify.com/artist/62YF0FglEltB3CnVIjoko8""},""href"":""https://api.spotify.com/v1/artists/62YF0FglEltB3CnVIjoko8"",""id"":""62YF0FglEltB3CnVIjoko8"",""name"":""Ingratax"",""type"":""artist"",""uri"":""spotify:artist:62YF0FglEltB3CnVIjoko8""}]",París,151428,4bF2y8rR7GUjrd5LNEvej3,París,90,spotify:track:4bF2y8rR7GUjrd5LNEvej3
2021-10-29 21:26:47,1,"[{""external_urls"":{""spotify"":""https://open.spotify.com/artist/6eUKZXaKkcviH0Ku9w2n3V""},""href"":""https://api.spotify.com/v1/artists/6eUKZXaKkcviH0Ku9w2n3V"",""id"":""6eUKZXaKkcviH0Ku9w2n3V"",""name"":""Ed Sheeran"",""type"":""artist"",""uri"":""spotify:artist:6eUKZXaKkcviH0Ku9w2n3V""}]",=,236906,4btFHqumCO31GksfuBLLv3,Overpass Graffiti,0,spotify:track:4btFHqumCO31GksfuBLLv3
2021-10-29 21:26:47,2,"[{""external_urls"":{""spotify"":""https://open.spotify.com/artist/4dpARuHxo51G3z768sgnrY""},""href"":""https://api.spotify.com/v1/artists/4dpARuHxo51G3z768sgnrY"",""id"":""4dpARuHxo51G3z768sgnrY"",""name"":""Adele"",""type"":""artist"",""uri"":""spotify:artist:4dpARuHxo51G3z768sgnrY""}]",Easy On Me,224694,0gplL1WMoJ6iYaPgMCL0gX,Easy On Me,99,spotify:track:0gplL1WMoJ6iYaPgMCL0gX
2021-10-29 21:26:48,3,"[{""external_urls"":{""spotify"":""https://open.spotify.com/artist/2tIP7SsRs7vjIcLrU85W8J""},""href"":""https://api.spotify.com/v1/artists/2tIP7SsRs7vjIcLrU85W8J"",""id"":""2tIP7SsRs7vjIcLrU85W8J"",""name"":""The Kid LAROI"",""type"":""artist"",""uri"":""spotify:artist:2tIP7SsRs7vjIcLrU85W8J""},{""external_urls"":{""spotify"":""https://open.spotify.com/artist/1uNFoZAHBGtllmzznpCI3s""},""href"":""https://api.spotify.com/v1/artists/1uNFoZAHBGtllmzznpCI3s"",""id"":""1uNFoZAHBGtllmzznpCI3s"",""name"":""Justin Bieber"",""type"":""artist"",""uri"":""spotify:artist:1uNFoZAHBGtllmzznpCI3s""}]",STAY (with Justin Bieber),141805,5HCyWlXZPP0y6Gqq8TgA20,STAY (with Justin Bieber),100,spotify:track:5HCyWlXZPP0y6Gqq8TgA20
2021-10-29 21:26:48,4,"[{""external_urls"":{""spotify"":""https://open.spotify.com/artist/7jVv8c5Fj3E9VhNjxT4snq""},""href"":""https://api.spotify.com/v1/artists/7jVv8c5Fj3E9VhNjxT4snq"",""id"":""7jVv8c5Fj3E9VhNjxT4snq"",""name"":""Lil Nas X"",""type"":""artist"",""uri"":""spotify:artist:7jVv8c5Fj3E9VhNjxT4snq""},{""external_urls"":{""spotify"":""https://open.spotify.com/artist/2LIk90788K0zvyj2JJVwkJ""},""href"":""https://api.spotify.com/v1/artists/2LIk90788K0zvyj2JJVwkJ"",""id"":""2LIk90788K0zvyj2JJVwkJ"",""name"":""Jack Harlow"",""type"":""artist"",""uri"":""spotify:artist:2LIk90788K0zvyj2JJVwkJ""}]",INDUSTRY BABY (feat. Jack Harlow),212000,27NovPIUIRrOZoCHxABJwK,INDUSTRY BABY (feat. Jack Harlow),98,spotify:track:27NovPIUIRrOZoCHxABJwK
2021-10-29 21:26:48,5,"[{""external_urls"":{""spotify"":""https://open.spotify.com/artist/4yvcSjfu4PC0CYQyLy4wSq""},""href"":""https://api.spotify.com/v1/artists/4yvcSjfu4PC0CYQyLy4wSq"",""id"":""4yvcSjfu4PC0CYQyLy4wSq"",""name"":""Glass Animals"",""type"":""artist"",""uri"":""spotify:artist:4yvcSjfu4PC0CYQyLy4wSq""}]",Dreamland,238805,3USxtqRwSYz57Ewm6wWRMp,Heat Waves,89,spotify:track:3USxtqRwSYz57Ewm6wWRMp
2021-10-29 21:26:48,6,"[{""external_urls"":{""spotify"":""https://open.spotify.com/artist/5L1lO4eRHmJ7a0Q6csE5cT""},""href"":""https://api.spotify.com/v1/artists/5L1lO4eRHmJ7a0Q6csE5cT"",""id"":""5L1lO4eRHmJ7a0Q6csE5cT"",""name"":""LISA"",""type"":""artist"",""uri"":""spotify:artist:5L1lO4eRHmJ7a0Q6csE5cT""}]",LALISA,168227,7hU3IHwjX150XLoTVmjD0q,MONEY,92,spotify:track:7hU3IHwjX150XLoTVmjD0q
